gene,log2FC,pval,adj_pval
15E1.2,0.7018245323168781,2.257823625893392e-19,1.835006283312055e-18
7A5,0.6792725835941615,1.691344519632023e-05,3.45256952011719e-05
A1BG,0.6344883861704215,2.1484781573738316e-13,9.275952350646337e-13
A2M,-1.386401523133658,1.3470953764906914e-31,4.207267524075391e-30
AADAC,-2.9727823401200326,8.256828442307837e-15,4.141437609864183e-14
AADACL1,0.6717553069509439,1.404243866936743e-10,4.6209266665519537e-10
AADACL2,-1.0513093371347113,6.8089895279818136e-09,1.920174570209641e-08
AASS,-1.4670194020060532,1.6692148840801077e-25,2.5631754453521587e-24
AATF,0.5538367705847717,1.553010115103722e-16,9.340490685407186e-16
ABAT,0.5888580863642782,2.0945196388514617e-08,5.65675547923287e-08
ABCA1,-0.7426062888014299,2.6294274107962848e-08,7.022245444316235e-08
ABCA10,-0.5095029408084094,0.00035101264088521707,0.0006257477412172507
ABCA11,-0.6874970869875112,3.4574274662394175e-15,1.8077849442310138e-14
ABCA12,1.1383735499498997,1.3033830397460769e-05,2.6875936530486777e-05
ABCA13,-0.5068583277257104,5.013968764663225e-06,1.0769288185430407e-05
ABCA3,0.8417220862127739,1.1945869218936975e-18,9.013513918861419e-18
ABCA5,-1.730344266168769,1.183245430710036e-44,2.0490061963483695e-42
ABCA6,-2.4610845331432643,7.986811075864955e-30,1.998416676922433e-28
ABCA7,0.5148743401820116,2.503701310410284e-06,5.533898132070752e-06
ABCA8,-3.2874894893964277,2.9430253227232676e-33,1.1312859976797792e-31
ABCA9,-2.700653398576057,2.839469851096499e-26,4.770636666251466e-25
ABCB1,-1.8723301061832895,8.961441302205943e-33,3.2585365566649053e-31
ABCB5,-0.8706097647897362,2.7366830660158506e-12,1.0573136033712663e-11
ABCB8,0.7643319904552357,1.1439345430768955e-18,8.657470860413199e-18
ABCB9,0.6099169037363001,1.6937758268893474e-14,8.192516375081494e-14
ABCC1,0.7425790851901202,3.997023082763264e-11,1.3799434211908704e-10
ABCC13,0.9253632939766752,3.315999848373498e-20,2.9027446120146386e-19
ABCC5,0.9802250055640227,1.240363554464948e-28,2.718541173883702e-27
ABCC6,-1.0300036254303198,2.2523695693869836e-12,8.78348801974991e-12
ABCC9,-1.0083188171531283,5.400674273803742e-09,1.5391525671961455e-08
ABCD1,0.701709504477982,2.7536309077525063e-08,7.338260639431866e-08
ABCD2,-2.0432346266282404,4.817215337776297e-14,2.2142732262209577e-13
ABCD4,-0.6603442468003347,5.711768767270342e-26,9.198787821322125e-25
ABCG1,1.0569993957048562,8.044386469916628e-24,1.042967526751978e-22
ABCG2,-1.3316256081688311,1.3983929587165743e-25,2.1663324046016725e-24
ABHD11,0.9933681944487487,5.3441038765058035e-22,5.661319006667868e-21
ABHD12,0.7987056199448388,1.429239371569106e-26,2.4972424184559106e-25
ABHD12B,0.689758997283255,3.6508729239965985e-08,9.600626588588258e-08
ABHD2,0.7872676335925585,3.31870774626079e-47,7.078560790500149e-45
ABHD6,-0.9729706322889874,8.614053929983177e-12,3.182505349290362e-11
ABI3BP,-1.806384078630677,6.225281583607045e-18,4.355206995891489e-17
ABLIM1,-1.1275112543514414,1.1417461237939345e-35,5.908029498566838e-34
ABLIM3,-1.0516852930745366,2.4654468097858165e-14,1.1720756918497942e-13
ACAA2,-1.0344998411788402,2.144452776015629e-15,1.146636473632325e-14
ACACB,-1.918355018232153,2.8999426660591253e-15,1.5277107599209065e-14
ACAD11,-0.9598266230747775,1.3253117468916218e-14,6.492913852418618e-14
ACADL,-3.0788992510872153,8.247145960573883e-25,1.1852307547283256e-23
ACADM,-0.8211517671759274,2.76629157653556e-15,1.4617051260908442e-14
ACADS,-1.2446744243701389,3.903254782543648e-16,2.2523235284291784e-15
ACADVL,-0.6807317446052455,7.197959732848868e-14,3.253031414147977e-13
ACAN,1.3877427949425145,3.0925311736835646e-18,2.232289320170266e-17
ACAT1,-0.8745409836065574,1.5256972750405945e-13,6.681133034667001e-13
ACBD6,0.616181242058942,6.489106361521725e-32,2.0786533015204208e-30
ACCN2,-0.6075395193529392,2.880880491795119e-07,6.968137159659332e-07
ACE2,-1.406960452240024,7.433611395087747e-25,1.074494738017229e-23
ACN9,-0.8290737240075615,5.733028152282382e-28,1.1672952547545851e-26
ACO1,-1.3422511388639253,4.070521541851582e-12,1.5493671766481862e-11
ACOT2,-0.7494540394806162,9.839388363336192e-07,2.2637582540745857e-06
ACOT4,0.6316104930428585,3.3537691994688254e-07,8.056231739968378e-07
ACOT6,-0.8660135682337022,1.1453549086387076e-05,2.3757420958362186e-05
ACOT7,1.1323838552480707,6.5480557011798616e-34,2.7267974812770427e-32
