TF,Target,Weight
MEIS2,HOXA4,0.7058710854680851
MEIS2,RBMS3,0.7026058021407313
SPI1,CD300LF,0.7426150707255744
SPI1,CD37,0.788358535095693
SPI1,CD68,0.7521672988141996
SPI1,CD72,0.7116976615418898
SPI1,CD80,0.7093987480037601
SPI1,CD84,0.8195564740823867
SPI1,CORO1A,0.7017067992025756
SPI1,CXORF9,0.7558064917695452
SPI1,DOK3,0.7615604881637144
SPI1,GPR84,0.7172953295590659
SPI1,HCK,0.7210414589109557
SPI1,HK3,0.7114743349051295
SPI1,IFI30,0.7135454304775192
SPI1,ITGAX,0.8164358491440559
SPI1,ITGB2,0.7994312344527097
SPI1,LAPTM5,0.8195119482632864
SPI1,LILRB1,0.8401550807507269
SPI1,MARCH1,0.703195386609653
SPI1,PARVG,0.8101094187647773
SPI1,SIGLEC7,0.831330164212852
SPI1,SIGLEC9,0.816405884893044
SPI1,SLC7A7,0.7559605913466041
SPI1,TFEC,0.7846810694082066
SPI1,URP2,0.8016737266251331
SPI1,WIPF1,0.7480367546888536
E2F7,ANLN,0.7622137449132906
E2F7,ARHGAP11A,0.7053747961995979
E2F7,ASF1B,0.7574143366485442
E2F7,ASPM,0.7786445637796456
E2F7,AURKA,0.7419661483593832
E2F7,BIRC5,0.7562127027372774
E2F7,BLM,0.752595715532491
E2F7,BUB1,0.7976421984729843
E2F7,BUB1B,0.7682308577196346
E2F7,C12ORF48,0.7164733083603276
E2F7,C13ORF3,0.7884422319276446
E2F7,C15ORF42,0.749814171624868
E2F7,C16ORF59,0.7330907697347727
E2F7,C18ORF24,0.7085793664380114
E2F7,CASC5,0.7319406436572218
E2F7,CCNA2,0.7060650977799533
E2F7,CCNB1,0.7431841155689554
E2F7,CCNB2,0.7891896380886485
E2F7,CCNE2,0.7239544150609074
E2F7,CDC2,0.7784079000886114
E2F7,CDC20,0.7242437105462642
E2F7,CDC25C,0.7943897881556362
E2F7,CDC45L,0.7216358770018693
E2F7,CDCA3,0.7529376478583666
E2F7,CDCA5,0.7781552825434169
E2F7,CDCA8,0.7788971223541202
E2F7,CDKN3,0.7664601777892773
E2F7,CDT1,0.7479293450128259
E2F7,CENPA,0.7605243951210338
E2F7,CENPE,0.7504764773407819
E2F7,CENPF,0.7644389862358952
E2F7,CENPI,0.7131763352916961
E2F7,CENPK,0.7300305473415469
E2F7,CENPO,0.715513437376733
E2F7,CEP55,0.7912490541320814
E2F7,CHEK1,0.7041919614400495
E2F7,CIT,0.7784277531584952
E2F7,CKS2,0.754087794165838
E2F7,CLSPN,0.707030101791056
E2F7,DEPDC1,0.7102915433314353
E2F7,DEPDC1B,0.800687658644874
E2F7,DIAPH3,0.7239507865692447
E2F7,DKFZP762E1312,0.8021164937934971
E2F7,DLG7,0.8003423651336593
E2F7,DTL,0.7461773239327961
E2F7,E2F8,0.7196704454810913
E2F7,ERCC6L,0.7392638665089727
E2F7,ESPL1,0.7107656867609692
E2F7,EXO1,0.7393641642464465
E2F7,EZH2,0.7209369387799288
E2F7,FAM54A,0.7312921345610521
E2F7,FAM64A,0.7641955334788288
E2F7,FAM83D,0.7399414452659504
E2F7,FANCI,0.7979027496449939
E2F7,FOXM1,0.7714750535769042
E2F7,GTSE1,0.7439190199311226
E2F7,HMMR,0.750707232349931
E2F7,KIAA0101,0.7129879851710532
E2F7,KIF11,0.7882042716189713
E2F7,KIF14,0.7574848190538235
E2F7,KIF15,0.7799751542752964
E2F7,KIF18A,0.7303582764321519
E2F7,KIF20A,0.7755898091589541
E2F7,KIF23,0.7733270087976182
E2F7,KIF2C,0.7868832091793394
E2F7,KIF4A,0.7691531188266181
E2F7,KIF4B,0.734755799279587
E2F7,KIFC1,0.7516883199299744
E2F7,KNTC1,0.7068151024880096
E2F7,MCM10,0.7115779389977085
E2F7,MCM2,0.7340115724172231
E2F7,MELK,0.7857638103450507
E2F7,MKI67,0.7670723897670033
E2F7,NCAPG2,0.7068576516871409
E2F7,NCAPH,0.7584047377646402
E2F7,NDC80,0.7792022524189691
E2F7,NEIL3,0.755890931031056
E2F7,NEK2,0.7646514915962865
E2F7,NUF2,0.7577068288919236
E2F7,NUSAP1,0.7862753192889832
E2F7,OIP5,0.7735040943564734
E2F7,PBK,0.7170659312417919
E2F7,PLK1,0.7269461941504936
E2F7,PLK4,0.7551256344351944
E2F7,POLG,0.7018033670321545
E2F7,POLQ,0.7671879781827444
E2F7,PRC1,0.7745416945208693
E2F7,PTTG1,0.79474610498602
E2F7,PTTG2,0.7781384907827198
E2F7,PTTG3,0.7871729761388547
E2F7,RACGAP1,0.7759682955689472
E2F7,RAD51,0.7514807275280654
E2F7,RAD54L,0.7764328642174291
E2F7,RNASEH2A,0.7132584857242417
E2F7,RRM2,0.7016661503918182
E2F7,SGOL1,0.7180702178288051
E2F7,SPAG5,0.729894565729259
E2F7,SPC25,0.8016906823731658
E2F7,STIL,0.7660344219187022
E2F7,TACC3,0.7080650079472761
E2F7,TIMELESS,0.7261165248046075
E2F7,TOP2A,0.7177653647368859
E2F7,TPX2,0.7986180134973956
E2F7,TROAP,0.7316444888224714
E2F7,TTK,0.7582572919036514
E2F7,TYMS,0.7244471090223007
E2F7,UBE2C,0.7846669254339084
E2F7,UBE2T,0.7694273032133022
E2F7,UHRF1,0.7413981455823656
E2F7,WDHD1,0.7135256130793112
E2F7,WDR51A,0.7016700320070404
E2F7,ZWINT,0.7608113610566597
SNAI2,CALD1,0.7173118226254149
SNAI2,CNN1,0.7411194466338729
SNAI2,FSTL1,0.7122454820872475
SNAI2,GAS1,0.7654892146341351
SNAI2,GLT8D2,0.7812964702513596
SNAI2,GPR124,0.713638433318227
SNAI2,JAM3,0.7254533796188193
SNAI2,LAMB1,0.7108132621457066
SNAI2,LIMS2,0.7094699014215015
SNAI2,MSRB3,0.7688926269328016
SNAI2,MYLK,0.7294862185298744
SNAI2,NDN,0.7264014130250602
SNAI2,PDGFRA,0.7442214778449705
SNAI2,PTRF,0.7255687118581866
SNAI2,RBMS3,0.7039886709893729
SNAI2,RECK,0.7160380032082362
SNAI2,RHOJ,0.7080350077176387
SNAI2,RUNX1T1,0.7227804377408765
SNAI2,SRPX,0.7068450360083389
SNAI2,TAGLN,0.726333617128913
SNAI2,TPM2,0.7351871873747762
SNAI2,TSHZ3,0.714425618126972
ZNF669,AHCTF1,0.7070900058269225
EBF3,ABCA6,0.8179050118509138
EBF3,ABCA8,0.8108740696989258
EBF3,ABCA9,0.7794631126205964
