TF,Target,Weight
EBF3,15E1.2,-0.2628441102021017
POU3F3,15E1.2,-0.24248711800533715
HIF3A,15E1.2,-0.17145697990227002
ZNF467,7A5,-0.45741115691913903
EGR2,7A5,-0.4155624894236999
E2F7,7A5,0.39896287226518956
EGR1,A1BG,-0.3712335928122287
ZNF573,A1BG,-0.2520327985080152
OSR1,A1BG,0.24096387763055926
FLI1,A2M,0.5100761608188172
SOX8,A2M,-0.31630291210180367
FOSB,A2M,-0.2929255695407639
TCF4,AADAC,0.7301186461725924
ERG,AADAC,-0.6076742967347318
TSHZ3,AADAC,-0.5197215479793037
FOXA1,AADACL1,0.45018364313220055
HOXA2,AADACL1,-0.30116762684818765
SPDEF,AADACL1,-0.27535376712963666
GATAD2A,AADACL2,-0.29994404603077357
FOXN3,AADACL2,-0.25714577507358843
STAT5A,AADACL2,-0.24404342419347944
ZNF552,AASS,0.33295948881260456
ERG,AASS,0.29930363311554226
FLI1,AASS,-0.2604998623897554
ZNF787,AATF,-0.22448591073520396
LHX1,AATF,0.21885189774073027
ZNF784,AATF,-0.16992735810754492
POU3F3,ABAT,-0.34324069431300047
SPDEF,ABAT,-0.3119027545806781
HOXA5,ABAT,0.27598916837464976
ZNF540,ABCA1,-0.2671474766819916
SOX17,ABCA1,-0.2624800804111432
FOXA1,ABCA1,0.2559456239490126
SPDEF,ABCA10,-0.5683662435703265
FOXC1,ABCA10,-0.47522248437400133
EGR2,ABCA10,-0.4707888410372633
ZNF467,ABCA11,-0.1974010158976244
ZNF672,ABCA11,-0.19654619947470917
HOXA5,ABCA11,0.1907697078519748
E2F7,ABCA12,0.7679864221303746
NPAS1,ABCA12,0.7206320915101849
SNAI2,ABCA12,0.7093039570423714
GATA3,ABCA13,-0.6166736101241126
ZEB2,ABCA13,-0.5741712757341709
ZNF579,ABCA13,-0.5738273755485791
E4F1,ABCA3,0.2957374459074523
SCRT2,ABCA3,-0.2360988160346476
FOXA1,ABCA3,0.23451273348397467
FOXA1,ABCA5,0.32592705366300095
ZNF668,ABCA5,-0.28608847102500473
HBP1,ABCA5,-0.2781299741228821
EBF1,ABCA6,0.2450712500426634
EBF3,ABCA6,0.19400741803681998
ZNF646,ABCA6,-0.18928350968267954
FOXA1,ABCA7,0.31529932430010676
POU3F3,ABCA7,0.2794059533259397
ZNF669,ABCA7,-0.27688909366301734
MAFA,ABCA8,-0.33892587699684296
ZNF787,ABCA8,0.29755214800378504
ATOH8,ABCA8,0.28834684023609314
EBF1,ABCA9,0.37228137258037486
TFEC,ABCA9,0.2860623436376309
EOMES,ABCA9,0.23552841010838185
EBF1,ABCB1,-0.3041269151897557
ZNF579,ABCB1,-0.23909137746825634
POU3F3,ABCB1,0.21163822322563997
ZNF784,ABCB5,0.4086336381211565
EGR1,ABCB5,0.4085253484651541
ZNF366,ABCB5,0.3739836480475247
ZNF467,ABCB8,0.21379353270638898
BACH2,ABCB8,0.18326288526392684
TFEC,ABCB8,-0.18053778482089253
ZNF467,ABCB9,0.23321664401011657
POU3F3,ABCB9,-0.202242132177159
EGR2,ABCB9,0.20152741220869555
EBF3,ABCC1,-0.23372126840407823
ZEB2,ABCC1,-0.19409938073207791
ZNF787,ABCC1,0.1857631108766869
SOX10,ABCC13,-0.8094625094978891
FOXM1,ABCC13,-0.7719815837456283
OVOL2,ABCC13,-0.6913139640024248
KLF9,ABCC5,0.3641813242635351
HOXA5,ABCC5,-0.2973336663951462
ZNF784,ABCC5,-0.25408156416438366
MYBL2,ABCC6,-0.38813819137966854
FOS,ABCC6,-0.3522683965408449
ZBTB4,ABCC6,0.3431737103231713
KLF11,ABCC9,0.19676217601341567
FOXN3,ABCC9,0.17454849995405688
JUND,ABCC9,-0.16802118503533
FLI1,ABCD1,-0.23048036007484712
GATA3,ABCD1,-0.1756757379189068
SOX12,ABCD1,0.16253377104864938
EBF1,ABCD2,0.2710813711419967
MYC,ABCD2,0.24414719101324509
KLF6,ABCD2,-0.23030234531977836
ADNP,ABCD4,-0.16270504829009003
EGR1,ABCD4,-0.14066801990396316
NEUROG3,ABCD4,0.13993911215786428
EBF1,ABCG1,0.29135463266878714
E2F8,ABCG1,0.285502580124259
SOX17,ABCG1,-0.2723078571114722
ZNF579,ABCG2,-0.4716168556034449
ZEB2,ABCG2,0.33729463046878533
KLF15,ABCG2,-0.245513997269898
HOXA3,ABHD11,0.24430209855892623
EGR2,ABHD11,0.22146536299076627
FOXA1,ABHD11,0.21958206496873112
FLI1,ABHD12,0.37838834184080644
SOX3,ABHD12,-0.31213364846427427
MYB,ABHD12,-0.2878441897927443
SCRT2,ABHD12B,-0.8929819821027479
OTX1,ABHD12B,-0.631199677521425
NFAT5,ABHD12B,0.6037630561064818
EBF1,ABHD2,0.2411654359769799
ZNF16,ABHD2,0.21858651419429492
MYB,ABHD2,-0.21148110152676455
SMARCC1,ABHD6,0.34903820408578023
EBF3,ABHD6,-0.3153412714525784
ZNF668,ABHD6,-0.29261472475144634
NKX3-2,ABI3BP,-0.3445990274487357
FOXA1,ABI3BP,-0.3327744230219394
ETV7,ABI3BP,-0.30004288655847716
ZNF784,ABLIM1,0.20423104424860564
MXI1,ABLIM1,0.2016841298499385
ZNF467,ABLIM1,0.18695926408675387
FOXM1,ABLIM3,-0.3156338336786884
SOX3,ABLIM3,0.31546281861946696
MEOX1,ABLIM3,-0.3063631921052174
ZNF787,ACAA2,-0.3153295929785189
ETV7,ACAA2,-0.28434333648996213
HOXA5,ACAA2,-0.2716944742172553
ZNF467,ACACB,0.4418815285104483
PPARG,ACACB,0.3686223523001847
ZNF623,ACACB,0.3672150883341748
ZNF250,ACAD11,0.1996039426316438
TP63,ACAD11,0.18349083235750357
ZNF552,ACAD11,0.1719761020970679
SOX10,ACADL,0.6168148118228933
ZBED2,ACADL,0.5251069121919657
EBF1,ACADL,0.5139416495904597
ZNF784,ACADM,0.1924708614583413
CEBPE,ACADM,0.18766297398646617
HBP1,ACADM,0.18705711337211262
IRF1,ACADS,-0.27765014300379737
THRA,ACADS,0.27731245921098235
POU3F3,ACADS,-0.2758154924363046
ZBTB4,ACADVL,0.37397800164220324
CREB3L4,ACADVL,-0.18783457156895977
XPA,ACADVL,-0.17384782871499851
SNAI2,ACAN,0.38066345500935217
HEYL,ACAN,0.3213412400031607
ZNF552,ACAN,0.2689277089888854
REST,ACAT1,-0.30338071430217195
TCF4,ACAT1,0.22493373916784326
ADNP,ACAT1,0.22079096818222252
HOXA4,ACBD6,-0.13745194862139257
ZNF768,ACBD6,0.13258111070573608
ZBTB41,ACBD6,0.12708749558204907
FOXM1,ACCN2,-0.6394435092779669
HOXA2,ACCN2,-0.4081509402742709
SCRT2,ACCN2,0.3833454394611
ATOH8,ACE2,0.5913734662242491
ID4,ACE2,-0.504674491837894
FLI1,ACE2,-0.4726793271895102
ZNF579,ACN9,0.4206252671342893
ZEB2,ACN9,0.3818914396742655
NEUROG3,ACN9,-0.3667710439253775
SPDEF,ACO1,-0.34604044157343933
NEUROG3,ACO1,0.3150742383703943
TCF4,ACO1,0.23868310417370026
CEBPA,ACOT2,0.2714528936020432
VSX1,ACOT2,-0.2425180813908623
NEUROG3,ACOT2,-0.23213656448265665
CREB3L4,ACOT4,0.34899568724155844
SOX10,ACOT4,-0.3434440768820745
TCF3,ACOT4,0.28966803736486607
HOXA2,ACOT6,0.3395186407427166
SOX8,ACOT6,0.33513327755202316
