gene_symbol,gene_length_bp
PRDM16,9767
EEF1DP6,372
LINC01646,3328
LINC02782,449
PLCH2,10809
LINC02781,1580
MTCYBP45,565
MFFP1,710
MMEL1,3870
VPS13D,20768
RPL10P17,316
HES5,1324
PPIAP34,492
IFITM3P7,402
LINC01756,2148
KAZN,13860
TMEM51-AS1,11973
FTLP18,523
LINC02810,1328
FTH1P1,532
CASZ1,11336
GRIK3,10497
PLA2G2D,2681
HSPA5P1,1960
RPS29P6,145
RPS27P9,253
PADI6,2396
PADI4,2971
LINC01654,2471
SHMT1P1,1312
PHB1P12,811
RLF,6232
FCF1P6,595
RPL6P1,681
DLGAP3,4042
TMA16P2,601
MRPS6P2,370
CLSPN-AS1,539
CZIB-DT,3591
LAMTOR5P1,270
KLF17,3160
SNIP1,5718
RPS13P2,455
RPL23AP85,433
GTF2F2P2,721
KLF18,3159
DNAJC6-AS1,512
GAPDHP51,1000
TUBB6P1,585
GDI2P2,608
RNFT1P2,757
AK5,6948
COX6A1P1,331
ADH5P2,1124
RPL29P5,457
KRT8P21,1491
DNAJC6,6958
LEPROT,5237
NDUFS5P3,321
RPL13AP9,546
COX6CP13,226
PDE4B-AS1,456
GJA9,2439
NEGR1-IT1,534
RPL17P6,555
PGBD4P8,562
MTND2P30,382
RPL7P10,739
SLC25A6P3,879
PSAT1P3,1111
NEGR1,13208
LOC100421400,571
SHISAL2A,2684
HMGB1P18,619
DNTTIP2,7518
HNRNPA1P64,922
PHKA1P1,621
COL24A1,9568
GPX7,1692
MTCO1P21,589
RPS2P11,877
MROH7-TTC4,7090
LOC100131348,1240
HNRNPCP9,859
KATNBL1P2,835
HMGB1P45,653
MTND4P11,1058
MTCO3P21,643
TBCAP2,326
BARHL2,2044
SNX7-DT,672
OOSP1P1,274
EEF1A1P11,1389
RPS20P5,360
MATR3P3,593
RPS20P6,343
RPL21P23,460
MTND3P21,331
LOC124904580,399
RPL21P26,488
RPSAP19,880
DNAJA1P5,943
HSP90B3P,1567
LINC01787,1994
MTATP6P13,667
MAN1A2,9667
LINC02868,386
RPS2P14,748
CIMAP3,3949
GAPDHP64,1003
LOC101060164,742
TRIM45,4368
RPS26P15,348
NBPF17P,2119
SEPTIN2P1,180
LINC02788,1014
VPS25P1,508
MTND5P20,143
SYCP1,4278
NEFHP1,2629
VDAC2P3,828
FTLP17,525
HIGD1AP12,281
TSHB,528
PSMC1P12,1314
RPS15AP9,381
MTIF2P1,1548
SPAG17,9828
UBE2WP1,340
SLC6A17-AS1,1660
CDK4P1,828
TXNP3,301
RPS29P29,171
LYSMD1,2508
ELOCP19,318
PNRC2P1,420
LINC02799,408
PPIAP7,489
OR10AE1P,1029
NR1H5P,1377
MTCO2P21,677
PFN1P12,534
MTATP6P14,673
NKAIN1P1,582
LOC100421402,1029
LOC127814295,3626
FMO8P,1600
TLCD4-RWDD3,1961
FMO11P,1370
LOC401957,1779
FDPSP1,1071
LINC01720,2216
XCL2,562
LRRC8D-DT,695
CNN2P10,918
LAMC1-AS1,479
MTCO1P14,1559
LOC101928628,677
TPR,12350
CHIA,4643
PRELID1P7,625
WDR82P2,928
RPL5P6,886
OR10J5,930
HSPE1P6,291
EEF1A1P14,1376
XCL1,1227
LOC647132,3528
ISCUP1,448
LOC100131939,677
HNRNPA1P46,937
FTH1P2,412
RPS29P5,171
CATSPERE,4431
TFDP1P1,1224
EDARADD,3996
LINC03121,2277
ATP5MC2P1,426
LMX1A,4185
ADCY10,6141
SELE,4586
RHOU,3965
PRRX1,8248
FMO10P,1493
RIMKLBP2,654
MIPEPP2,1819
SRP14P4,203
RPL7AP21,787
RPL21P28,483
ZNF678,8915
LHX9,10442
CHCHD2P5,400
KIF26B,14404
PRR13P1,408
LMX1A-AS2,692
LOC100421343,540
LINC01035,1393
LINC00210,1584
PTPN14,18752
LINC01653,1728
HMGB1P11,637
OR2L6P,940
RPL4P2,1282
OR2L9P,913
RGS18,2801
TGFB2,6050
HFM1,5814
MORF4L1P7,703
FMO1,3602
TGFB2-OT1,1371
TUBB8P10,1279
QRSL1P2,964
PAPPA2,10926
CLPTM1LP1,484
SPMIP3,1151
SPATA45,506
TOP1P1,661
RPS3AP9,792
SHCBP1L,2982
RPL23AP22,453
RPL10AP5,634
RPL23AP18,468
RPL13P7,631
DUTP6,462
PTP4A1P7,514
HMGN1P4,290
SLC4A1APP2,1259
RSL24D1P4,484
BPNT2P1,668
LINC01735,2399
LOC100129949,1410
LINC01710,834
LOC100420879,557
RPS5P4,479
RPS26P13,330
EXOC8,5100
GAPDHP75,943
LOC124904503,2483
CCNQP1,645
TRNT1P1,1133
ZNF695,3756
SMYD3-IT1,361
RPS28P2,192
KRT18P28,1332
TGIF2P1,685
RPL23AP16,421
ZNF670-ZNF695,3197
RGS21,1794
RCC2-AS1,311
EEF1A1P44,1335
RAC1P7,377
LOC100419806,1256
USH2A,20633
RPL31P13,370
LOC124904553,1723
RIDAP1,400
ADSS2,3441
PLD5,9546
NXNP1,1051
BANF1P4,270
CHCHD4P5,427
STYXL2,4274
PM20D1-AS1,6230
COLGALT2,7806
GAPDHP29,985
SLC35F3,3447
DPY19L4P1,2158
MAEL,3148
RPL9P10,570
NDUFAF4P4,502
RPS15P2,438
LINC01691,426
LINC01363,1929
GPR52,1582
FEN1P1,1145
SMYD3,5866
HMGB3P6,598
RPS17P6,415
NMNAT1P2,860
VDAC1P10,891
LOC100420880,1231
LINC01677,3122
HMCN1,18739
PDC,1331
MIR4689,70
LOC124900441,184
RN7SL614P,280
RNU6-1265P,103
LOC124900427,124
RNA5SP40,110
MIR34A,110
MIR552,96
RNU6-605P,108
MIR4255,72
RNU6-636P,107
Y_RNA,101
RNA5SP43,110
RNU6-753P,107
MIR6732,60
MIR6733,61
RNU2-30P,141
RNU6-969P,105
RNU6-1237P,107
RNU6-1026P,108
MIR6079,62
MIR5581,60
LOC124904732,62
LOC124900447,122
RNU6-414P,104
RNU6-1177P,104
RN7SKP19,252
RNU2-15P,191
RNU4-88P,86
RNA5SP23,105
MIR7156,60
RN7SL62P,297
RNU6-503P,105
RN7SL854P,295
RNU7-8P,62
RNA5SP22,109
RNA5SP52,134
SNORD3G,215
RNA5SP50,107
RN7SL392P,299
RNA5SP51,119
RN7SL440P,343
MIR30E,92
RNU6-750P,107
MIR30C1,89
RNU6-125P,107
RNU6-1318P,103
RNU6-695P,104
MIR378G,41
MIR760,80
RNU4-75P,146
MIR7852,82
RNU1-130P,160
RNU6-965P,96
LOC124900436,124
MIR320B1,79
RN7SKP272,232
LOC124900444,122
RNA5SP56,118
Metazoa_SRP,265
MIR942,86
LOC124904812,104
RN7SKP285,318
RNU4ATAC8P,109
RNA5SP55,125
RNA5SP533,110
MIR4256,64
RNU6-352P,107
7SK,247
RNU6-41P,107
RNU5F-6P,116
LOC124904671,204
RNU6-983P,103
RNU6-716P,103
LOC124904756,62
RNU1-141P,158
RNU6-778P,103
RNU2-12P,168
SNORA16B,135
LOC124904778,92
MIR1255B2,67
SCARNA3,143
RNU6-609P,107
RN7SL299P,280
MIR3119-1,85
RNU6-570P,105
MIR3119-2,85
SNORA14B,135
MIR4671,73
RNU6-465P,101
MIR205,110
RN7SL333P,297
RN7SL668P,303
RNU6-1283P,105
RN7SL344P,296
RNA5SP80,111
RNU6-1205P,106
RNA5SP73,108
RN7SKP156,342
LOC124900448,122
RNA5SP65,119
LOC124904666,210
RNA5SP62,110
RNU5A-8P,114
MIR3122,73
RNA5SP63,112
RN7SKP98,156
RNA5SP77,120
RNA5SP71,126
RN7SKP12,143
MIR3124,67
RNU6-1240P,104
RPS13P1,470
RPL21P27,472
RPL26P12,435
RPS4XP4,763
FAM43B,2448
MIR6084,110
ZNF101P2,1229
SCARNA18B,135
MIR1278,81
SGO1P1,1447
RN7SL538P,304
RN7SL242P,297
CASP3P1,609
EEF1A1P48,1186
SEPTIN14P12,560
MRPS21P3,262
THAP12P8,2115
RFKP1,428
HNRNPA1P42,957
MIR3123,75
RPL36P6,303
APCS,925
CRPP1,625
CRP,2015
RPL27P2,420
LOC124900450,67
VSIG8,1818
CFAP45,2627
MIR4259,101
SLAMF9,1139
SNHG28,5656
MIR4254,76
LOC124904669,216
RNU6-817P,104
EFNA4,1257
EFNA4-EFNA3,1042
HMGN2P18,270
MIR92B,96
PKLR,3168
RNU6-586P,104
RNU4ATAC4P,126
DNAJB6P4,728
